symbol,setup_type,d_minus_2,signal_day,trade_day,d2_open,d2_close,d1_open,d1_close,d1_body_abs,d1_range,bars_trade_day
5m_data,FRD,2017-01-11,2017-01-12,2017-01-13,5035.4,5052.8,5047.7,5042.1,5.599999999999454,53.899999999999636,267
5m_data,FGD,2017-01-12,2017-01-13,2017-01-16,5047.7,5042.1,5040.9,5066.8,25.900000000000546,28.0,222
5m_data,FRD,2017-01-13,2017-01-16,2017-01-17,5040.9,5066.8,5059.5,5057.3,2.199999999999818,12.199999999999818,273
5m_data,FGD,2017-01-17,2017-01-18,2017-01-19,5054.2,5045.9,5043.9,5060.1,16.200000000000728,23.100000000000364,272
5m_data,FRD,2017-01-25,2017-01-26,2017-01-27,5096.1,5155.0,5153.3,5152.5,0.8000000000001819,27.399999999999636,252
5m_data,FGD,2017-01-26,2017-01-27,2017-01-30,5153.3,5152.5,5149.8,5168.1,18.300000000000182,26.199999999999818,261
5m_data,FRD,2017-01-27,2017-01-30,2017-01-31,5149.8,5168.1,5152.1,5130.4,21.700000000000728,59.69999999999982,261
5m_data,FGD,2017-01-30,2017-01-31,2017-02-01,5152.1,5130.4,5128.4,5139.1,10.700000000000728,49.5,261
5m_data,FRD,2017-02-01,2017-02-02,2017-02-03,5133.2,5155.1,5146.9,5136.4,10.5,38.0,267
5m_data,FGD,2017-02-02,2017-02-03,2017-02-06,5146.9,5136.4,5131.5,5160.3,28.800000000000182,42.5,273
5m_data,FRD,2017-02-15,2017-02-16,2017-02-17,5272.3,5312.1,5310.5,5301.1,9.399999999999636,28.300000000000182,266
5m_data,FGD,2017-02-16,2017-02-17,2017-02-20,5310.5,5301.1,5296.4,5325.1,28.700000000000728,39.20000000000073,228
5m_data,FRD,2017-02-22,2017-02-23,2017-02-24,5343.3,5352.8,5350.9,5331.2,19.699999999999818,50.100000000000364,267
5m_data,FGD,2017-02-23,2017-02-24,2017-02-27,5350.9,5331.2,5328.2,5343.2,15.0,44.69999999999982,273
5m_data,FRD,2017-02-27,2017-02-28,2017-03-01,5340.4,5343.1,5343.6,5334.4,9.200000000000728,32.5,273
5m_data,FGD,2017-02-28,2017-03-01,2017-03-02,5343.6,5334.4,5332.9,5384.9,52.0,67.69999999999982,272
5m_data,FRD,2017-03-01,2017-03-02,2017-03-03,5332.9,5384.9,5381.4,5360.7,20.699999999999818,37.5,267
5m_data,FGD,2017-03-02,2017-03-03,2017-03-06,5381.4,5360.7,5355.4,5370.5,15.100000000000364,29.100000000000364,273
5m_data,FRD,2017-03-03,2017-03-06,2017-03-07,5355.4,5370.5,5367.7,5353.2,14.5,29.699999999999818,261
5m_data,FGD,2017-03-07,2017-03-08,2017-03-09,5352.7,5350.6,5346.0,5362.0,16.0,43.19999999999982,273
5m_data,FRD,2017-03-13,2017-03-14,2017-03-15,5379.2,5395.8,5393.1,5381.6,11.5,36.19999999999982,273
5m_data,FGD,2017-03-14,2017-03-15,2017-03-16,5393.1,5381.6,5380.3,5413.9,33.599999999999454,51.5,273
5m_data,FRD,2017-03-16,2017-03-17,2017-03-20,5410.6,5413.2,5411.2,5405.5,5.699999999999818,17.300000000000182,270
5m_data,FGD,2017-03-17,2017-03-20,2017-03-21,5411.2,5405.5,5402.0,5413.8,11.800000000000182,32.0,273
5m_data,FRD,2017-03-20,2017-03-21,2017-03-22,5402.0,5413.8,5411.5,5332.1,79.39999999999964,110.60000000000036,273
5m_data,FGD,2017-03-21,2017-03-22,2017-03-23,5411.5,5332.1,5331.4,5362.9,31.5,60.19999999999982,273
5m_data,FRD,2017-03-22,2017-03-23,2017-03-24,5331.4,5362.9,5362.4,5355.6,6.799999999999272,30.800000000000182,267
5m_data,FGD,2017-03-23,2017-03-24,2017-03-27,5362.4,5355.6,5354.9,5377.8,22.900000000000546,47.30000000000018,166
5m_data,FRD,2017-03-30,2017-03-31,2017-04-03,5433.1,5438.8,5437.8,5437.3,0.5,31.800000000000182,273
5m_data,FGD,2017-03-31,2017-04-03,2017-04-04,5437.8,5437.3,5428.2,5431.1,2.9000000000005457,51.399999999999636,273
5m_data,FRD,2017-04-04,2017-04-05,2017-04-06,5429.8,5446.0,5444.5,5411.6,32.899999999999636,72.30000000000018,273
5m_data,FGD,2017-04-05,2017-04-06,2017-04-07,5444.5,5411.6,5411.4,5424.5,13.100000000000364,45.5,267
5m_data,FRD,2017-04-06,2017-04-07,2017-04-10,5411.4,5424.5,5423.1,5420.6,2.5,53.30000000000018,273
5m_data,FGD,2017-04-07,2017-04-10,2017-04-11,5423.1,5420.6,5416.9,5425.6,8.700000000000728,37.69999999999982,273
5m_data,FRD,2017-04-10,2017-04-11,2017-04-12,5416.9,5425.6,5425.2,5404.4,20.800000000000182,70.89999999999964,267
5m_data,FGD,2017-04-13,2017-04-17,2017-04-18,5368.7,5356.5,5351.7,5397.0,45.30000000000018,51.5,273
5m_data,FRD,2017-04-17,2017-04-18,2017-04-19,5351.7,5397.0,5396.1,5391.4,4.700000000000728,29.099999999999454,273
5m_data,FGD,2017-04-18,2017-04-19,2017-04-20,5396.1,5391.4,5389.8,5394.5,4.699999999999818,42.0,273
5m_data,FRD,2017-04-20,2017-04-21,2017-04-24,5395.9,5444.1,5443.4,5442.9,0.5,26.699999999999818,273
5m_data,FGD,2017-04-21,2017-04-24,2017-04-25,5443.4,5442.9,5432.0,5503.8,71.80000000000018,81.5,273
5m_data,FRD,2017-04-27,2017-04-28,2017-05-01,5544.4,5589.1,5585.5,5583.7,1.800000000000182,25.800000000000182,272
5m_data,FGD,2017-04-28,2017-05-01,2017-05-02,5585.5,5583.7,5582.7,5634.8,52.100000000000364,64.10000000000036,273
5m_data,FRD,2017-05-01,2017-05-02,2017-05-03,5582.7,5634.8,5630.3,5626.7,3.600000000000364,19.399999999999636,269
5m_data,FGD,2017-05-03,2017-05-04,2017-05-05,5619.0,5612.4,5613.3,5630.9,17.599999999999454,24.699999999999818,267
5m_data,FRD,2017-05-05,2017-05-08,2017-05-09,5627.7,5651.7,5657.4,5656.0,1.3999999999996362,23.899999999999636,272
5m_data,FGD,2017-05-08,2017-05-09,2017-05-10,5657.4,5656.0,5653.3,5681.6,28.300000000000182,37.0,273
5m_data,FRD,2017-05-09,2017-05-10,2017-05-11,5653.3,5681.6,5676.9,5676.4,0.5,21.5,272
5m_data,FGD,2017-05-11,2017-05-12,2017-05-15,5670.4,5669.1,5667.6,5686.6,19.0,32.80000000000018,273
5m_data,FRD,2017-05-16,2017-05-17,2017-05-18,5699.0,5721.5,5717.6,5572.1,145.5,147.29999999999927,164
5m_data,FGD,2017-05-17,2017-05-18,2017-05-19,5717.6,5572.1,5571.4,5631.2,59.80000000000018,97.69999999999982,273
5m_data,FRD,2017-05-29,2017-05-30,2017-05-31,5790.2,5793.4,5791.8,5791.7,0.1000000000003638,24.199999999999818,271
5m_data,FGD,2017-05-30,2017-05-31,2017-06-01,5791.8,5791.7,5788.1,5802.3,14.199999999999818,55.30000000000018,272
5m_data,FRD,2017-06-05,2017-06-06,2017-06-07,5877.4,5881.8,5879.2,5863.4,15.800000000000182,43.69999999999982,273
5m_data,FGD,2017-06-06,2017-06-07,2017-06-08,5879.2,5863.4,5860.8,5881.2,20.399999999999636,38.599999999999454,273
5m_data,FRD,2017-06-08,2017-06-09,2017-06-12,5877.4,5894.6,5869.5,5740.7,128.80000000000018,238.5,273
5m_data,FGD,2017-06-12,2017-06-13,2017-06-14,5740.1,5718.7,5712.0,5758.4,46.399999999999636,53.19999999999982,273
5m_data,FRD,2017-06-13,2017-06-14,2017-06-15,5712.0,5758.4,5752.9,5726.0,26.899999999999636,100.30000000000018,273
5m_data,FGD,2017-06-16,2017-06-19,2017-06-20,5703.4,5687.9,5688.7,5766.4,77.69999999999982,99.5,250
5m_data,FRD,2017-06-19,2017-06-20,2017-06-21,5688.7,5766.4,5761.3,5727.5,33.80000000000018,55.19999999999982,261
5m_data,FGD,2017-06-20,2017-06-21,2017-06-22,5761.3,5727.5,5721.6,5792.1,70.5,97.80000000000018,268
5m_data,FRD,2017-06-21,2017-06-22,2017-06-23,5721.6,5792.1,5784.9,5782.2,2.699999999999818,42.5,273
5m_data,FGD,2017-06-22,2017-06-23,2017-06-26,5784.9,5782.2,5779.2,5802.6,23.400000000000546,52.0,273
5m_data,FRD,2017-06-23,2017-06-26,2017-06-27,5779.2,5802.6,5801.9,5776.0,25.899999999999636,83.60000000000036,273
